GeneID,GeneName
KH2013:KH.C3.813,Mstn (myostatin)
KH2013:KH.C3.411,Lefty
KH2013:KH.L106.16,Nodal
KH2013:KH.C4.547,Gdf1/3-r
KH2013:KH.C5.173,Tgfbtun1
KH2013:KH.C1.393,Tgfbtun2
KH2013:KH.C2.568,Tgfbtun3
KH2013:KH.C3.724,TGFb1/2/3
KH2013:KH.C6.145,Chd (chordin)
KH2013:KH.L47.9,Dand (Dan domain familymember)
KH2013:KH.C12.562,Nog (noggin)
KH2013:KH.C2.1069,Pinhead
KH2013:KH.C12.156,Tolloid
KH2013:KH.S678.1,TGFβ receptor-Ia
KH2013:KH.C14.43,TGFβ receptor-Ib
KH2013:KH.L22.40,TGFβ receptor-Ic
KH2013:KH.C1.598,TGFβ receptor-IIa
KH2013:KH.L141.39,TGFβ receptor-IIb
KH2013:KH.C9.27,Wnt3 (Wnt family member 3/3A)
KH2013:KH.L152.45,Wnt5 (Wnt family member 5A/B)
KH2013:KH.C8.843,Wnt7 (Wnt family member 7A/B)
KH2013:KH.C9.773,Wnt9 (Wnt family member 9A/B)
KH2013:KH.L19.12,Wnt10 (Wnt family member 10A/B)
KH2013:KH.C6.25,Wnttun1 (Tunicate Wnt family member 1)
KH2013:KH.C12.334,Wnttun2 (Tunicate Wnt family member 2)
KH2013:KH.C2.584,Wnttun3 (Tunicate Wnt family member 3)
KH2013:KH.C5.638,Wnttun4 (Tunicate Wnt family member 4)
KH2013:KH.C9.257,Wnttun5 (Tunicate Wnt family member 5)
KH2013:KH.C8.457,APC
KH2013:KH.C1.97,axin
KH2013:KH.C9.53,Ctnnb (catenin beta)
KH2013:KH.L20.29,dickkopf
KH2013:KH.L141.37,dishevelled
KH2013:KH.L65.6,Gsk3 (glycogen synthase kinase 3)
KH2013:KH.L154.1,LRP5/6
KH2013:KH.L9.43,Fz3/6
KH2013:KH.C6.162,Fz4
KH2013:KH.C9.260,Fz5/8
KH2013:KH.C9.236,Orphan Fz-a
KH2013:KH.C12.511,Orphan Fz-b
KH2013:KH.L171.5,sFRP1/5
KH2013:KH.C2.469,sFRP2
KH2013:KH.C1.486,sFRP3/4-a
KH2013:KH.C1.520,sFRP3/4-b
KH2013:KH.C1.543,sFRP3/4-c
KH2013:KH.C8.359,Hedgehog1
KH2013:KH.C5.544,Hedgehog2
KH2013:KH.C4.128,Niemann-Pick Type C1
KH2013:KH.C2.486,Niemann-Pick Type C3
KH2013:KH.C5.651,Patched
KH2013:KH.L41.13,smoothened
KH2013:KH.C1.555,JAK
KH2013:KH.L53.1,PIAS // Ci-ZF273
KH2013:KH.L71.9,SOCS1/2/3/CIS
KH2013:KH.C3.879,SOCS6
KH2013:KH.C3.195,SOCS7
KH2013:KH.C3.827,STAT-a
KH2013:KH.C1.275,STAT-b
KH2013:KH.C4.206,IkB
KH2013:KH.C2.855,IKK-α/β
KH2013:KH.C8.217,IKK-ε
KH2013:KH.L155.7,Dll (delta like canonical Notch ligand)
KH2013:KH.L50.6,Dlk (delta like non-canonical Notch ligand)
KH2013:KH.C11.186,Jag (jagged)
KH2013:KH.C11.423,Deltex
KH2013:KH.L6.1,Fringe 1
KH2013:KH.C9.576,Fringe 2
KH2013:KH.C11.570,Fringe 3
KH2013:KH.C14.366,Fringe 4
SPKH.S1484.10002,Fringe 5
KH2013:KH.L37.53,Fringe 6
KH2013:KH.C11.509,Fringe 7
KH2013:KH.C7.542,Fringe 8
KH2013:KH.C8.290,Neuralized-a // Ci-ZF525
KH2013:KH.C8.806,Neuralized-b // Ci-ZF442
KH2013:KH.C9.176,Notch (notch)
KH2013:KH.C3.780,Numb
KH2013:KH.C9.29,Rhysin2/Deltex3-a // Ci-ZF487
KH2013:KH.C9.337,Rhysin2/Deltex3-b // Ci-ZF519
KH2013:KH.C9.548,Rhysin2/Deltex3-c // Ci-ZF439
