GeneID	UniqueNAME
KH2013:KH.C1.487	TIMELESS
KH2013:KH.C1.927	KH2013:KH.C1.927_DIRC2
KH2013:KH.C1.376	CG13775
KH2013:KH.C1.159	HES1/2/4
KH2013:KH.C1.1039	KH2013:KH.C1.1039_PRSS12
KH2013:KH.C1.912	CBX1/3/5
KH2013:KH.C1.245	SAP30L
KH2013:KH.C1.584	TSPAN13/31
KH2013:KH.C1.352	LSMD1
KH2013:KH.C1.359	SYD-9
KH2013:KH.C1.596	KH2013:KH.C1.596_RDH12/14
KH2013:KH.C1.177	TMCO3
KH2013:KH.C1.821	MIS-12
KH2013:KH.C1.329	RAN
KH2013:KH.C1.566	KH2013:KH.C1.566
KH2013:KH.C1.240	TACC/1/2/3
KH2013:KH.C1.1295	KH2013:KH.C1.1295
KH2013:KH.C1.326	AMOTL1/2
KH2013:KH.C1.383	KH2013:KH.C1.383
KH2013:KH.C1.1083	KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8
KH2013:KH.C1.405	KH2013:KH.C1.405
KH2013:KH.C1.1067	FRQ1/2
KH2013:KH.C1.577	TTLL10
KH2013:KH.C1.404	EPH
KH2013:KH.C1.842	C02B10.5
KH2013:KH.C1.476	KH2013:KH.C1.476
KH2013:KH.C1.823	CHCHD8
KH2013:KH.C1.355	NDUFS7
KH2013:KH.C1.866	KH2013:KH.C1.866_RDH12/14
KH2013:KH.C1.858	KH2013:KH.C1.858_RNASEH1
KH2013:KH.C1.234	CLNS1A
KH2013:KH.C1.1155	MTX1/3
KH2013:KH.C1.875	SURF1
KH2013:KH.C1.1120	MRPL28
KH2013:KH.C1.538	LYPLA1/2
KH2013:KH.C1.1062	KH2013:KH.C1.1062
KH2013:KH.C1.1274	MRPS11
KH2013:KH.C1.928	KH2013:KH.C1.928
KH2013:KH.C1.539	KH2013:KH.C1.539_HNRNPA1/3
KH2013:KH.C1.388	HNRNPK
KH2013:KH.C1.195	CCDC62
KH2013:KH.C1.797	CASKIN1
KH2013:KH.C1.1170	KH2013:KH.C1.1170_RHBDL1/3
KH2013:KH.C1.483	CAPN3/8
KH2013:KH.C1.1188	KLHL1/3/4
KH2013:KH.C1.779	SPR
KH2013:KH.C1.414	HOXC10/11
KH2013:KH.C1.515	RAB12
KH2013:KH.C1.769	KH2013:KH.C1.769
KH2013:KH.C1.879	FAM187B
KH2013:KH.C1.667	KH2013:KH.C1.667
KH2013:KH.C1.553	OLFM2/3
KH2013:KH.C1.1287	COL1A2
KH2013:KH.C1.470	C9ORF116
KH2013:KH.C1.246	CYP20A1
KH2013:KH.C1.101	KH2013:KH.C1.101_CDIPT
KH2013:KH.C1.603	TAOK1/2/3
KH2013:KH.C1.933	HADHA
KH2013:KH.C1.445	KH2013:KH.C1.445_CG9903
KH2013:KH.C1.98	KH2013:KH.C1.98
KH2013:KH.C1.82	COX5B/2
KH2013:KH.C1.1221	KH2013:KH.C1.1221
KH2013:KH.C1.68	PSTK
KH2013:KH.C1.309	SNF8
KH2013:KH.C1.936	ERLEC1
KH2013:KH.C1.191	KH2013:KH.C1.191
KH2013:KH.C1.199	BBS1
KH2013:KH.C1.535	MASTL
KH2013:KH.C1.991	YMR114C
KH2013:KH.C1.449	KH2013:KH.C1.449
KH2013:KH.C1.983	KLF10/11/2/4
KH2013:KH.C1.1152	KH2013:KH.C1.1152
KH2013:KH.C1.863	KH2013:KH.C1.863_NAT1/2/3
KH2013:KH.C1.59	HADHB
KH2013:KH.C1.317	KH2013:KH.C1.317_SPTLC2/3
KH2013:KH.C1.1284	C5ORF43
KH2013:KH.C1.1027	HDAC1/2
KH2013:KH.C1.970	KH2013:KH.C1.970
KH2013:KH.C1.140	KH2013:KH.C1.140
KH2013:KH.C1.787	TANC1/2
KH2013:KH.C1.96	ATP5G1/2/3
KH2013:KH.C1.809	MCART1/2
KH2013:KH.C1.1122	KH2013:KH.C1.1122_CYP-33C1/11/12/3/4/5/6/7/8
KH2013:KH.C1.1081	DIS3
KH2013:KH.C1.1158	KH2013:KH.C1.1158
KH2013:KH.C1.1053	KH2013:KH.C1.1053
KH2013:KH.C1.63	SEH1L
KH2013:KH.C1.99	SOX1/2/3
KH2013:KH.C1.89	MPDU1
KH2013:KH.C1.633	PICALM
KH2013:KH.C1.898	KH2013:KH.C1.898_B4GALT1/2
KH2013:KH.C1.628	KH2013:KH.C1.628_MS4A17A.1/11/14/2/4/5/6/7/8/9
KH2013:KH.C1.884	KH2013:KH.C1.884
KH2013:KH.C1.484	KH2013:KH.C1.484_MS4A15/2
KH2013:KH.C1.677	KDM5B
KH2013:KH.C1.4	EFNB1/2/3
KH2013:KH.C1.100	KH2013:KH.C1.100
KH2013:KH.C1.1279	KH2013:KH.C1.1279
KH2013:KH.C1.1192	KH2013:KH.C1.1192
KH2013:KH.C1.187	TNFAIP8L1/2/3
KH2013:KH.C1.1268	KH2013:KH.C1.1268
KH2013:KH.C1.1012	CHMP5
KH2013:KH.C1.805	KH2013:KH.C1.805_PHYH
KH2013:KH.C1.749	KH2013:KH.C1.749_MASP1/2
KH2013:KH.C1.158	GSH1
KH2013:KH.C1.461	KH2013:KH.C1.461
KH2013:KH.C1.485	KH2013:KH.C1.485
KH2013:KH.C1.481	KH2013:KH.C1.481_GST-12/13/14/15/16/17/18/19/2/21/22/24/27/28/29/3/30/31/32/33/34/35/37/38/39/4/5/6/7/8/9
KH2013:KH.C1.540	MBLAC1
KH2013:KH.C1.1109	KH2013:KH.C1.1109_DP
KH2013:KH.C1.746	KH2013:KH.C1.746_TMEM26
KH2013:KH.C1.220	MRPS25
KH2013:KH.C1.867	KH2013:KH.C1.867_CCDC37
KH2013:KH.C1.119	KH2013:KH.C1.119
KH2013:KH.C1.832	FGL2
KH2013:KH.C1.546	FBXL2/20
KH2013:KH.C1.128	KH2013:KH.C1.128
KH2013:KH.C1.670	ATP5C1
KH2013:KH.C1.1276	KH2013:KH.C1.1276_CALM1/2
KH2013:KH.C1.1157	KCND1/2/3
KH2013:KH.C1.285	KH2013:KH.C1.285_CKM
KH2013:KH.C1.583	CACNA2D3/4
KH2013:KH.C1.430	KH2013:KH.C1.430
KH2013:KH.C1.1045	KH2013:KH.C1.1045_LRRC15
KH2013:KH.C1.1302	COQ4
KH2013:KH.C1.637	DLG1/2/3/4
KH2013:KH.C1.993	KH2013:KH.C1.993_SVEP1
KH2013:KH.C1.47	KH2013:KH.C1.47
KH2013:KH.C1.1275	RUVBL1
KH2013:KH.C1.1224	LEPREL1/2
KH2013:KH.C1.411	KH2013:KH.C1.411
KH2013:KH.C1.146	KH2013:KH.C1.146_EPHA10/2/3/4/5/6/7/8
KH2013:KH.C1.913	KH2013:KH.C1.913_MOODY
KH2013:KH.C1.1075	EME1/2
KH2013:KH.C1.1270	KH2013:KH.C1.1270
KH2013:KH.C1.1121	KH2013:KH.C1.1121_SULT6B1
KH2013:KH.C1.178	SSU72
KH2013:KH.C1.147	TDRD1/6
KH2013:KH.C1.974	KH2013:KH.C1.974_CRG1
KH2013:KH.C1.124	MCM7
KH2013:KH.C1.999	KH2013:KH.C1.999
KH2013:KH.C1.574	KH2013:KH.C1.574_MS4A15/2
KH2013:KH.C1.733	KH2013:KH.C1.733
KH2013:KH.C1.252	CALU-1
KH2013:KH.C1.1014	KH2013:KH.C1.1014
KH2013:KH.C1.142	RASSF10A
KH2013:KH.C1.133	KH2013:KH.C1.133_RCN1/3
KH2013:KH.C1.308	C06E1.3
KH2013:KH.C1.563	KH2013:KH.C1.563
KH2013:KH.C1.847	KH2013:KH.C1.847
KH2013:KH.C1.25	KH2013:KH.C1.25
KH2013:KH.C1.855	KH2013:KH.C1.855
KH2013:KH.C1.891	KH2013:KH.C1.891
KH2013:KH.C1.1028	KH2013:KH.C1.1028
KH2013:KH.C1.857	KH2013:KH.C1.857
KH2013:KH.C1.1255	KH2013:KH.C1.1255
KH2013:KH.C1.475	KH2013:KH.C1.475
KH2013:KH.C1.595	KH2013:KH.C1.595
KH2013:KH.C1.729	TNKS
KH2013:KH.C1.1169	ABT1
KH2013:KH.C1.880	TAF1C
KH2013:KH.C1.5	DUOX/1/2
KH2013:KH.C1.272	SPO11
KH2013:KH.C1.108	SS18L1
KH2013:KH.C1.1235	ATG13
KH2013:KH.C1.1144	CENPN
KH2013:KH.C1.605	METTL11A
KH2013:KH.C1.597	KH2013:KH.C1.597_FAM55A
KH2013:KH.C1.48	DCAF6/8
KH2013:KH.C1.496	KH2013:KH.C1.496
KH2013:KH.C1.838	KH2013:KH.C1.838
KH2013:KH.C1.80	TMEM201
KH2013:KH.C1.92	KH2013:KH.C1.92_PRPF3
KH2013:KH.C1.1160	WDR48
KH2013:KH.C1.915	KH2013:KH.C1.915_ASPA
KH2013:KH.C1.635	KH2013:KH.C1.635
KH2013:KH.C1.1165	EGFL6
KH2013:KH.C1.1035	KH2013:KH.C1.1035_WBSCR27
KH2013:KH.C1.357	KH2013:KH.C1.357
KH2013:KH.C1.957	KH2013:KH.C1.957
KH2013:KH.C1.151	KH2013:KH.C1.151_VWF
KH2013:KH.C1.1228	KH2013:KH.C1.1228
KH2013:KH.C1.381	KH2013:KH.C1.381_WBSCR27
KH2013:KH.C1.33	KH2013:KH.C1.33_CG13759
KH2013:KH.C1.1117	KH2013:KH.C1.1117
KH2013:KH.C1.1065	ESYT1/2/3
KH2013:KH.C1.550	MRP63
KH2013:KH.C1.1138	TARS
KH2013:KH.C1.1139	KH2013:KH.C1.1139_FAM55A
KH2013:KH.C1.399	USP14
KH2013:KH.C1.254	KH2013:KH.C1.254
KH2013:KH.C1.310	KH2013:KH.C1.310_WDR64
KH2013:KH.C1.265	KH2013:KH.C1.265_F32B5.1
KH2013:KH.C1.930	WDR82
KH2013:KH.C1.226	TMEM115
KH2013:KH.C1.1082	MSS51
KH2013:KH.C1.237	CYB561D1/2
KH2013:KH.C1.1103	FAM18B/1/2
KH2013:KH.C1.1219	POLQ
KH2013:KH.C1.469	BNIP1
KH2013:KH.C1.724	KH2013:KH.C1.724_SCO1/2
KH2013:KH.C1.489	SERPINI1
KH2013:KH.C1.486	SFRP5
KH2013:KH.C1.1250	SLC25A39/40
KH2013:KH.C1.520	KH2013:KH.C1.520_FZD6
KH2013:KH.C1.973	KLHL14/31
KH2013:KH.C1.542	ZPR1
KH2013:KH.C1.827	CNPY1/2
KH2013:KH.C1.796	KH2013:KH.C1.796_MASP1/2
KH2013:KH.C1.657	KH2013:KH.C1.657_MASP1/2
KH2013:KH.C1.379	KH2013:KH.C1.379
KH2013:KH.C1.773	TROVE2
KH2013:KH.C1.543	KH2013:KH.C1.543_FZD6
KH2013:KH.C1.1248	NME7
KH2013:KH.C1.1091	KH2013:KH.C1.1091
KH2013:KH.C1.575	KH2013:KH.C1.575_ITFG1
KH2013:KH.C1.888	4R79.2
KH2013:KH.C1.87	PPP2R4
KH2013:KH.C1.661	MXD1/3/4
KH2013:KH.C1.629	KH2013:KH.C1.629
KH2013:KH.C1.113	MYBPC1/2/3
KH2013:KH.C1.1247	KH2013:KH.C1.1247
KH2013:KH.C1.162	AGPS
KH2013:KH.C1.149	RYK
KH2013:KH.C1.256	PEBP1
KH2013:KH.C1.548	CASD1
KH2013:KH.C1.424	BIN3
KH2013:KH.C1.626	KH2013:KH.C1.626
KH2013:KH.C1.1191	KH2013:KH.C1.1191_FUT3/4/5/6/7/9
KH2013:KH.C1.844	CG14647
KH2013:KH.C1.921	KH2013:KH.C1.921
KH2013:KH.C1.911	TSR2
KH2013:KH.C1.426	RNF103
KH2013:KH.C1.1104	POFUT2
KH2013:KH.C1.800	KH2013:KH.C1.800
KH2013:KH.C1.590	KH2013:KH.C1.590
KH2013:KH.C1.554	KH2013:KH.C1.554_GJA4
KH2013:KH.C1.763	KH2013:KH.C1.763_KIAA2013
KH2013:KH.C1.700	PTRH2
KH2013:KH.C1.868	KH2013:KH.C1.868
KH2013:KH.C1.961	KH2013:KH.C1.961
KH2013:KH.C1.1132	KH2013:KH.C1.1132
KH2013:KH.C1.843	MRPL9
KH2013:KH.C1.185	KH2013:KH.C1.185_TRPT1
KH2013:KH.C1.277	KH2013:KH.C1.277_LPHN1/2/3
KH2013:KH.C1.901	KH2013:KH.C1.901_RCN1/3
KH2013:KH.C1.1146	KH2013:KH.C1.1146_QDR1/2/3
KH2013:KH.C1.955	KCNT1/2
KH2013:KH.C1.812	KH2013:KH.C1.812
KH2013:KH.C1.567	SF3B4
KH2013:KH.C1.719	KH2013:KH.C1.719_QDR1/2/3
KH2013:KH.C1.893	KH2013:KH.C1.893
KH2013:KH.C1.640	KH2013:KH.C1.640
KH2013:KH.C1.820	KH2013:KH.C1.820
KH2013:KH.C1.126	OR74A
KH2013:KH.C1.865	GOLIM4
KH2013:KH.C1.1072	KH2013:KH.C1.1072
KH2013:KH.C1.594	KH2013:KH.C1.594
KH2013:KH.C1.620	DENND1A
KH2013:KH.C1.650	FLJ21616-related
KH2013:KH.C1.529	CIN
KH2013:KH.C1.941	HMBOX1
KH2013:KH.C1.412	CSNK2B
KH2013:KH.C1.1037	LRP1/5
KH2013:KH.C1.845	KH2013:KH.C1.845
KH2013:KH.C1.205	KH2013:KH.C1.205
KH2013:KH.C1.1002	KH2013:KH.C1.1002
KH2013:KH.C1.995	CARS
KH2013:KH.C1.324	KH2013:KH.C1.324_CDIPT
KH2013:KH.C1.604	KH2013:KH.C1.604_ROBO1/2
KH2013:KH.C1.86	MRPL13/23
KH2013:KH.C1.757	KH2013:KH.C1.757
KH2013:KH.C1.472	KH2013:KH.C1.472
KH2013:KH.C1.837	ALO1
KH2013:KH.C1.50	KH2013:KH.C1.50_CHDH
KH2013:KH.C1.21	KH2013:KH.C1.21_CG2781
KH2013:KH.C1.160	KH2013:KH.C1.160
KH2013:KH.C1.415	TFS1
KH2013:KH.C1.534	ATP5H
KH2013:KH.C1.219	MBNL1/2/3
KH2013:KH.C1.751	ABTB1
KH2013:KH.C1.1125	ARRB1/2
KH2013:KH.C1.218	ILKAP
KH2013:KH.C1.850	C16ORF88
KH2013:KH.C1.494	KH2013:KH.C1.494
KH2013:KH.C1.118	SRRM4
KH2013:KH.C1.968	KH2013:KH.C1.968_GLCAT-S
KH2013:KH.C1.678	WGE
KH2013:KH.C1.1222	KIAA1704
KH2013:KH.C1.676	KH2013:KH.C1.676_C17ORF105
KH2013:KH.C1.67	LAMA4
KH2013:KH.C1.682	KH2013:KH.C1.682
KH2013:KH.C1.1061	KH2013:KH.C1.1061_TRIM2
KH2013:KH.C1.115	RPS29
KH2013:KH.C1.267	TAF3
KH2013:KH.C1.949	KH2013:KH.C1.949_TEQUILA
KH2013:KH.C1.510	KH2013:KH.C1.510
KH2013:KH.C1.1080	KH2013:KH.C1.1080_VWF
KH2013:KH.C1.872	KH2013:KH.C1.872_RDH12/14
KH2013:KH.C1.1252	HGFAC
KH2013:KH.C1.1105	KH2013:KH.C1.1105_CTSD
KH2013:KH.C1.555	JAK1/2/3
KH2013:KH.C1.1151	RPA2/4
KH2013:KH.C1.296	RPL22
KH2013:KH.C1.400	KH2013:KH.C1.400
KH2013:KH.C1.786	KH2013:KH.C1.786
KH2013:KH.C1.1041	NIF3L1
KH2013:KH.C1.1004	KATNA1
KH2013:KH.C1.446	TGFB1I1
KH2013:KH.C1.1298	KH2013:KH.C1.1298
KH2013:KH.C1.923	C1ORF109
KH2013:KH.C1.1251	ACBD6
KH2013:KH.C1.425	RNF144B
KH2013:KH.C1.1068	MFHAS1
KH2013:KH.C1.1230	SI:CH211-13C6.2
KH2013:KH.C1.792	KH2013:KH.C1.792
KH2013:KH.C1.934	KH2013:KH.C1.934
KH2013:KH.C1.834	PSMD12
KH2013:KH.C1.954	KH2013:KH.C1.954
KH2013:KH.C1.17	TRNAU1AP
KH2013:KH.C1.925	KH2013:KH.C1.925_NPHP3
KH2013:KH.C1.1	C1ORF158
KH2013:KH.C1.81	NUDT8
KH2013:KH.C1.531	MVD/1
KH2013:KH.C1.51	KH2013:KH.C1.51_NAS-30/33/36/37/38
KH2013:KH.C1.306	C17F3.3
KH2013:KH.C1.356	MATN1/3/4
KH2013:KH.C1.1036	KH2013:KH.C1.1036
KH2013:KH.C1.1182	RCC2
KH2013:KH.C1.156	KH2013:KH.C1.156
KH2013:KH.C1.953	KH2013:KH.C1.953_CG32702
KH2013:KH.C1.695	PIK3CD
KH2013:KH.C1.917	KH2013:KH.C1.917
KH2013:KH.C1.963	KH2013:KH.C1.963
KH2013:KH.C1.93	KH2013:KH.C1.93
KH2013:KH.C1.755	Ci-pem
KH2013:KH.C1.621	KH2013:KH.C1.621
KH2013:KH.C1.740	MAP4K4
KH2013:KH.C1.906	KH2013:KH.C1.906_PPP1R32
KH2013:KH.C1.859	KH2013:KH.C1.859
KH2013:KH.C1.511	SRP14
KH2013:KH.C1.143	TMEM187
KH2013:KH.C1.284	TEX261
KH2013:KH.C1.783	WHSC2
KH2013:KH.C1.1085	ATRN
KH2013:KH.C1.152	KH2013:KH.C1.152_WBSCR27
KH2013:KH.C1.71	KH2013:KH.C1.71_OAC-14/18/3/31/32/33/5/53/6/7
KH2013:KH.C1.300	KH2013:KH.C1.300_BDS1
KH2013:KH.C1.673	KH2013:KH.C1.673_PHO87/90/91
KH2013:KH.C1.368	GRTP1
KH2013:KH.C1.1176	CG2113
KH2013:KH.C1.817	KH2013:KH.C1.817
KH2013:KH.C1.732	KH2013:KH.C1.732_OAC-14/18/3/31/32/33/5/53/6/7
KH2013:KH.C1.1269	KH2013:KH.C1.1269_DUOXA1/2
KH2013:KH.C1.1135	ANAPC4
KH2013:KH.C1.680	CCDC124
KH2013:KH.C1.625	MAP1A
KH2013:KH.C1.513	KH2013:KH.C1.513_KDM2B
KH2013:KH.C1.1049	CLDN14/17/2/20
KH2013:KH.C1.282	INTU
KH2013:KH.C1.735	KH2013:KH.C1.735
KH2013:KH.C1.557	RNF213
KH2013:KH.C1.141	TMEM68
KH2013:KH.C1.1171	KH2013:KH.C1.1171_AIF1
KH2013:KH.C1.95	KH2013:KH.C1.95
KH2013:KH.C1.492	Y22D7AL.9
KH2013:KH.C1.658	TRF-1
KH2013:KH.C1.450	KH2013:KH.C1.450
KH2013:KH.C1.1024	GRWD1
KH2013:KH.C1.1118	EFHD1/2
KH2013:KH.C1.429	GPC3/5
KH2013:KH.C1.730	KH2013:KH.C1.730_VPS13C
KH2013:KH.C1.919	KH2013:KH.C1.919
KH2013:KH.C1.373	KH2013:KH.C1.373
KH2013:KH.C1.190	KH2013:KH.C1.190_ATG3
KH2013:KH.C1.691	KH2013:KH.C1.691_EMP1/2/3
KH2013:KH.C1.736	CDCA7L
KH2013:KH.C1.186	C1ORF50
KH2013:KH.C1.1033	ADHFE1
KH2013:KH.C1.598	ACVR2B
KH2013:KH.C1.387	KH2013:KH.C1.387
KH2013:KH.C1.167	MIEN1
KH2013:KH.C1.198	RERE
KH2013:KH.C1.1010	KH2013:KH.C1.1010_ITLN3
KH2013:KH.C1.1077	SDF4
KH2013:KH.C1.304	KH2013:KH.C1.304
KH2013:KH.C1.737	PSMB6
KH2013:KH.C1.374	WASL
KH2013:KH.C1.818	KH2013:KH.C1.818_C14ORF166B
KH2013:KH.C1.717	TMEM67
KH2013:KH.C1.1185	TCTEX1D1/2
KH2013:KH.C1.649	KH2013:KH.C1.649
KH2013:KH.C1.998	DEPTOR
KH2013:KH.C1.14	ARF2/6
KH2013:KH.C1.313	KH2013:KH.C1.313
KH2013:KH.C1.88	ANK1/2/3
KH2013:KH.C1.157	KH2013:KH.C1.157
KH2013:KH.C1.943	MUC22
KH2013:KH.C1.8	KH2013:KH.C1.8_CLDN1/18/2/5/8
KH2013:KH.C1.463	PASK
KH2013:KH.C1.802	KH2013:KH.C1.802_MATN1
KH2013:KH.C1.617	BRCC3
KH2013:KH.C1.382	CAB39L/1
KH2013:KH.C1.696	KH2013:KH.C1.696
KH2013:KH.C1.77	KH2013:KH.C1.77_ALG13
KH2013:KH.C1.276	C12ORF66
KH2013:KH.C1.527	KH2013:KH.C1.527
KH2013:KH.C1.503	KH2013:KH.C1.503
KH2013:KH.C1.145	DKC1
KH2013:KH.C1.91	KH2013:KH.C1.91_MSANTD3
KH2013:KH.C1.1124	KH2013:KH.C1.1124_SLC6A14
KH2013:KH.C1.591	KH2013:KH.C1.591_SLC6A14
KH2013:KH.C1.870	KH2013:KH.C1.870_SLC6A14
KH2013:KH.C1.1115	KH2013:KH.C1.1115_R05H10.1/7
KH2013:KH.C1.648	GM614
KH2013:KH.C1.440	KH2013:KH.C1.440_K02B12.6/9
KH2013:KH.C1.431	KH2013:KH.C1.431
KH2013:KH.C1.471	NCAPD2
KH2013:KH.C1.1131	C2ORF62
KH2013:KH.C1.1013	KH2013:KH.C1.1013
KH2013:KH.C1.278	DNAH2
KH2013:KH.C1.392	KH2013:KH.C1.392
KH2013:KH.C1.1249	EPT1
KH2013:KH.C1.134	KH2013:KH.C1.134
KH2013:KH.C1.767	TGS1
KH2013:KH.C1.502	KH2013:KH.C1.502_COL14A1
KH2013:KH.C1.607	KH2013:KH.C1.607
KH2013:KH.C1.1282	KH2013:KH.C1.1282
KH2013:KH.C1.104	C20ORF7
KH2013:KH.C1.466	HRSP12
KH2013:KH.C1.1299	HDLBP
KH2013:KH.C1.564	TRAPPC9
KH2013:KH.C1.168	KH2013:KH.C1.168_TECTA
KH2013:KH.C1.1040	CG6770
KH2013:KH.C1.905	KH2013:KH.C1.905_DNAH10
KH2013:KH.C1.1108	KH2013:KH.C1.1108
KH2013:KH.C1.519	KH2013:KH.C1.519
KH2013:KH.C1.908	HIGD1A
KH2013:KH.C1.348	KH2013:KH.C1.348
KH2013:KH.C1.337	SI:CH211-39A7.1
KH2013:KH.C1.514	ARHGAP39
KH2013:KH.C1.994	SNRNP35/70
KH2013:KH.C1.871	AXDND1
KH2013:KH.C1.341	POP1
KH2013:KH.C1.1242	KH2013:KH.C1.1242
KH2013:KH.C1.66	POLR3GL
KH2013:KH.C1.434	KH2013:KH.C1.434_C47F8.3/5/6
KH2013:KH.C1.627	KH2013:KH.C1.627
KH2013:KH.C1.1288	IFT57
KH2013:KH.C1.1030	KH2013:KH.C1.1030
KH2013:KH.C1.1198	NUS1
KH2013:KH.C1.1032	GOLPH3
KH2013:KH.C1.532	KH2013:KH.C1.532
KH2013:KH.C1.307	GLS/2
KH2013:KH.C1.397	NAB1/2
KH2013:KH.C1.97	AXIN1/2
KH2013:KH.C1.1140	ANKRD11/12
KH2013:KH.C1.498	SLC18A1/2/3
KH2013:KH.C1.1159	KH2013:KH.C1.1159
KH2013:KH.C1.910	KH2013:KH.C1.910_RXFP1
KH2013:KH.C1.824	ALDH18A1
KH2013:KH.C1.1056	GRB10/14/7
KH2013:KH.C1.367	SLC39A10/6
KH2013:KH.C1.196	ETV1/4/5
KH2013:KH.C1.131	KH2013:KH.C1.131
KH2013:KH.C1.971	BICC/1
KH2013:KH.C1.725	NFE2L1/2/3
KH2013:KH.C1.389	SF3B1
KH2013:KH.C1.225	KH2013:KH.C1.225_SLC6A1
KH2013:KH.C1.288	COG7
KH2013:KH.C1.662	SHFM1
KH2013:KH.C1.1272	KH2013:KH.C1.1272_THAP9
KH2013:KH.C1.1071	KH2013:KH.C1.1071
KH2013:KH.C1.883	KIFAP3
KH2013:KH.C1.508	ITGB1/2/3/7
KH2013:KH.C1.1016	NR6A1
KH2013:KH.C1.1038	KH2013:KH.C1.1038
KH2013:KH.C1.856	KH2013:KH.C1.856
KH2013:KH.C1.956	COPS7A
KH2013:KH.C1.488	ZNF143
KH2013:KH.C1.1278	NSMCE1
KH2013:KH.C1.699	TACC1/2/3
