counts	countsprimedCardiacPeaks	countsdenovoCardiacPeaks	countsprimedAsmPeaks	countsdenovoAsmPeaks	log2OddsRatioprimedCardiacPeaks	log2OddsRatiodenovoCardiacPeaks	log2OddsRatioprimedAsmPeaks	log2OddsRatiodenovoAsmPeaks	pprimedCardiacPeaks	pdenovoCardiacPeaks	pprimedAsmPeaks	pdenovoAsmPeaks	fdrprimedCardiacPeaks	fdrdenovoCardiacPeaks	fdrprimedAsmPeaks	fdrdenovoAsmPeaks
MAFG.1.2	1217	0	0	1	0	-Inf	-Inf	1.68734045732745	-Inf	1	1	0.280416937126163	1	1	1	1	1
ZIP.3	6149	0	1	6	1	-Inf	0.699872902725594	2.4368384968918	-0.5631615031082	1	0.501785383714558	0.00359959101124852	0.779016955183101	1	1	0.165581186517432	1
ATF1	7943	0	1	7	1	-Inf	0.27776190442916	2.40704492137413	-0.985272501404634	1	0.599978265356959	0.00257057065515193	0.862662340281277	1	1	0.165581186517432	1
XBP1.1	1435	1	0	0	0	3.66626834118144	-Inf	-Inf	-Inf	0.0984774076436681	1	1	1	1	1	1	1
XBP1.2	1957	0	0	0	1	-Inf	-Inf	-Inf	1.20483018127328	1	1	1	0.369805381129959	1	1	1	1
ATF3	8223	0	1	8	1	-Inf	0.219366561030193	2.73393973385995	-1.0436678448036	1	0.613735617441064	0.000518791238867901	0.872691841280422	1	1	0.0715931909637703	1
CREB3L1.2	2045	1	0	1	1	3.13902590348504	-Inf	0.916633482148593	1.13902590348504	0.138056960903218	1	0.427176997532658	0.382995687707738	1	1	1	1
E2F.1.2.3	1215	0	0	2	0	-Inf	-Inf	2.79668109756321	-Inf	1	1	0.0408448373665669	1	1	1	0.469715629715519	1
ERF	1199	0	0	2	1	-Inf	-Inf	2.81622634045289	1.93170355787282	1	1	0.0398733889583701	0.244923520590882	1	1	0.469715629715519	1
ELK1.3.4	806	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
EHF	1059	0	0	1	1	-Inf	-Inf	1.89211512844759	2.11450754978404	1	1	0.248699249686863	0.219498185257608	1	1	1	1
ETV1.4.5	816	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FLI1	899	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
KH2013.KH.C10.148	960	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ETS96B	950	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXE1.3	3954	0	0	1	1	-Inf	-Inf	-0.0864597981704144	0.135932623166034	1	1	0.666018546099445	0.613425080778658	1	1	1	1
FOXI1.3	2918	0	3	0	1	-Inf	4.18761494428921	-Inf	0.602652443568054	1	0.00249773578271821	1	0.500730448952403	1	0.172343769007557	1	1
FOXL1	3247	0	0	3	0	-Inf	-Inf	2.02453308377966	-Inf	1	1	0.0522806015766669	1	1	1	0.540387700338438	1
KH2013.KH.C1.1304	3814	0	2	2	2	-Inf	2.77677200597105	1.07633228782996	1.31734038733375	1	0.0576981322304318	0.271698272203623	0.219959624515856	1	1	1	1
FOXK1.2	3838	0	2	2	2	-Inf	2.76705964226741	1.06661992412631	1.30762802363011	1	0.0583581687112827	0.274144977234019	0.222052979659779	1	1	1	1
FOXN1	2202	0	3	1	0	-Inf	4.61307766950203	0.805722747444423	-Inf	1	0.00110522359986662	0.45163951078173	1	1	0.152520856781594	1	1
FOXM1	4065	0	0	2	3	-Inf	-Inf	0.977438084406577	1.94091220838146	1	1	0.29730699918904	0.0628737204874855	1	1	1	1
FOXJ2.3	2496	0	0	2	0	-Inf	-Inf	1.72394193847601	-Inf	1	1	0.141861808505176	1	1	1	0.946803491917657	1
FOXF1.2	2204	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXS1	2470	0	0	2	1	-Inf	-Inf	1.73974855425679	0.855225771676727	1	1	0.139469558521903	0.443186212299077	1	1	0.946803491917657	1
FOXO.1.3.4.6	1868	0	0	1	0	-Inf	-Inf	1.05195704631869	-Inf	1	1	0.398378460801149	1	1	1	1	1
FOXA1.2.3	1498	0	1	0	0	-Inf	2.86565192797218	-Inf	-Inf	1	0.149923121740941	1	1	1	1	1	1
FOXN1.1	1211	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXD1.2.3.5	3812	0	2	2	2	-Inf	2.77758392462912	1.07714420648803	1.31815230599183	1	0.0576432614961065	0.271494414514346	0.219785294451541	1	1	1	1
FOXI1.2	4264	0	0	1	3	-Inf	-Inf	-0.203958216380838	1.86643111151056	1	1	0.694601528608718	0.0706310711394356	1	1	1	1
FOXI1.3.1	1431	0	1	2	0	-Inf	2.93343539357338	2.55492377031965	-Inf	1	0.14364387069752	0.0548219406140444	1	1	1	0.540387700338438	1
FOXL1.1	2294	0	0	2	0	-Inf	-Inf	1.85112189061493	-Inf	1	1	0.123552831283781	1	1	1	0.946803491917657	1
SOX1.2.3	1497	0	0	1	0	-Inf	-Inf	1.3812149298184	-Inf	1	1	0.333576185536907	1	1	1	1	1
SOX14.21	2272	0	0	3	0	-Inf	-Inf	2.56605403817109	-Inf	1	1	0.0209583685882594	1	1	1	0.321361651686645	1
SOX15.17.18	1976	0	0	1	0	-Inf	-Inf	0.967992112337049	-Inf	1	1	0.416107001880358	1	1	1	1	1
SOX11.12.4	2087	0	0	3	0	-Inf	-Inf	2.69353704916392	-Inf	1	1	0.0167347255627981	1	1	1	0.288674015958267	1
HNF1A	1092	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXD12.9	1339	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXC4.5	1078	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HMBOX1	967	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ALX1.3	1084	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BARHL1.2	778	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LMX1A	939	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
EN1.2	1159	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
TLX1.2	1216	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXB1	1174	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX6	922	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXC13	1628	0	0	0	1	-Inf	-Inf	-Inf	1.47911485779394	1	1	1	0.31815157803734	1	1	1	1
UNCX	1127	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
UNCX4.1	661	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
SIX3.4.6	597	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HMX1.3	958	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXA5.6.7	1095	0	1	0	0	-Inf	3.32836958875431	-Inf	-Inf	1	0.111567810176148	1	1	1	1	1	1
POU4F1.2.3	1294	0	1	0	0	-Inf	3.08223296580454	-Inf	-Inf	1	0.130683827711648	1	1	1	1	1	1
NUB	1059	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX7	902	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PROX1	376	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
CHICK	1153	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PHOX2B	1101	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GM10391	1147	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
KH2013.KH.C10.174	1217	0	0	0	1	-Inf	-Inf	-Inf	1.9097328786639	1	1	1	0.248136431896415	1	1	1	1
CDX1.2.4	1739	1	0	0	0	3.38101424105706	-Inf	-Inf	-Inf	0.118368883914623	1	1	1	1	1	1	1
LAB	832	0	0	1	0	-Inf	-Inf	2.24610108575201	-Inf	1	1	0.200840276682304	1	1	1	1	1
OTX1.2.5	992	0	0	0	1	-Inf	-Inf	-Inf	2.21055351986127	1	1	1	0.207052825643052	1	1	1	1
EMX1.2	781	0	0	0	1	-Inf	-Inf	-Inf	2.56108539870322	1	1	1	0.166652314320268	1	1	1	1
ZFHX2.3.4	1149	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PKNOX1.2	1302	0	0	1	1	-Inf	-Inf	1.58770366429524	1.81009608563169	1	1	0.296958790283143	0.263138717464078	1	1	1	1
NKX2.3	1069	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
CEH.31	993	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX1.2.3	1194	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
SIX3.4.6.1	691	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DLX2.3.5	627	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXD3	747	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BARHL1.2.1	1012	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXA10.4.7	1717	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LHX3.4	1033	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BARX1.2	1200	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GSX1.2	903	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
Ci.HSF	479	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFKB1.2	2407	1	0	1	1	2.89419474915616	-Inf	0.671802327819713	0.894194749156161	0.160920196149914	1	0.482114671634253	0.434620173872167	1	1	1	1
REL	1709	1	0	0	2	3.40691587815396	-Inf	-Inf	2.53244676023782	0.116420690051135	1	1	0.0579329746605914	1	1	1	1
IRF1.10.2.5	1158	0	0	1	0	-Inf	-Inf	1.76058473889505	-Inf	1	1	0.268722132950428	1	1	1	1	1
MEF2D	876	1	0	0	1	4.3929969407541	-Inf	-Inf	2.3929969407541	0.0610243144066147	1	1	0.185071627374832	1	1	1	1
SRF	866	1	0	0	0	4.40982205349736	-Inf	-Inf	-Inf	0.0603438664533786	1	1	1	1	1	1	1
TP53.63.73	728	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU2F1.2	2159	0	0	1	1	-Inf	-Inf	0.835324714322178	1.05771713565863	1	1	0.445038385529184	0.399704276057523	1	1	1	1
RFX.1.2.3	1702	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DOC1.2.3	1430	1	0	0	1	3.67143590702366	-Inf	-Inf	1.67143590702366	0.0981474575710916	1	1	0.285209728449663	1	1	1	1
TBX1.15.18.22	1369	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
TBX19	1355	1	0	0	1	3.75113639423061	-Inf	-Inf	1.75113639423061	0.0931873298768395	1	1	0.272352706728181	1	1	1	1
DOC1.2.3.1	1276	1	0	0	1	3.83988168290269	-Inf	-Inf	1.83988168290269	0.0879405651310956	1	1	0.258579380752807	1	1	1	1
TBX2.3	1395	1	0	0	0	3.70810942569798	-Inf	-Inf	-Inf	0.0958352704261247	1	1	1	1	1	1	1
KLF12.3.8	1367	0	1	1	0	-Inf	3.0011340802346	1.51570725306435	-Inf	1	0.137609732068043	0.309368220866163	1	1	1	1	1
MET31.32	2024	0	0	1	2	-Inf	-Inf	0.932085507321202	2.28000881074151	1	1	0.423828781003463	0.0780098014024449	1	1	1	1
SP1.3.4.5	1750	0	0	1	0	-Inf	-Inf	1.14923281633204	-Inf	1	1	0.378434752850459	1	1	1	1	1
GLIS1.3	839	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
SI.DKEY.154P10.3	1173	0	0	1	2	-Inf	-Inf	1.74162297571059	3.0895462791309	1	1	0.271712089200393	0.0292545118701735	1	1	1	1
CROL	2346	0	0	2	0	-Inf	-Inf	1.8173890640649	-Inf	1	1	0.128203108512962	1	1	1	0.946803491917657	1
YER130C	2046	0	0	1	0	-Inf	-Inf	0.915901485655852	-Inf	1	1	0.427335982545833	1	1	1	1	1
KH2013.KH.L149.36	1397	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ZFP819	1039	0	0	0	1	-Inf	-Inf	-Inf	2.14253871047008	1	1	1	0.215802163097688	1	1	1	1
KLF6.7	2008	0	0	2	0	-Inf	-Inf	2.05087761219767	-Inf	1	1	0.0988662540054278	1	1	1	0.852721440796815	1
ZNF367	913	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
SCRT1.2	1659	0	0	1	0	-Inf	-Inf	1.22868782786793	-Inf	1	1	0.362634848672168	1	1	1	1	1
ZKSCAN1.14.17.2.3.6	943	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ZNF410	2019	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ZBTB44	952	0	1	1	0	-Inf	3.53401345931502	2.04858663214478	-Inf	1	0.0976159531683535	0.226483652987998	1	1	1	1	1
GLI1.2.3	1395	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
KH2013.KH.C9.626	692	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
SALM	1080	0	1	0	0	-Inf	3.3486625905945	-Inf	-Inf	1	0.110112821916651	1	1	1	1	1	1
MET31.32.1	945	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BCL6	760	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
YY1.2	1217	0	0	1	0	-Inf	-Inf	1.68734045732745	-Inf	1	1	0.280416937126163	1	1	1	1	1
ZBTB17.24.41.48.49	906	1	0	0	1	4.34363267269346	-Inf	-Inf	2.34363267269346	0.0630634410547117	1	1	0.190809707046154	1	1	1	1
GATA2.3	897	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GATA4.5.6	778	1	0	0	0	4.56671604255505	-Inf	-Inf	-Inf	0.0543399654622166	1	1	1	1	1	1	1
HNF4A	790	0	1	0	0	-Inf	3.8073549220576	-Inf	-Inf	1	0.081590243947674	1	1	1	1	1	1
ESRRB	766	0	1	1	0	-Inf	3.85248917179858	2.36706234462834	-Inf	1	0.079196020235986	0.186400391070023	1	1	1	1	1
NR2C1.2	953	0	0	0	1	-Inf	-Inf	-Inf	2.26943824747382	1	1	1	0.199724425269093	1	1	1	1
