counts	countsprimedCardiacPeaks	countsdenovoCardiacPeaks	countsprimedAsmPeaks	countsdenovoAsmPeaks	log2OddsRatioprimedCardiacPeaks	log2OddsRatiodenovoCardiacPeaks	log2OddsRatioprimedAsmPeaks	log2OddsRatiodenovoAsmPeaks	pprimedCardiacPeaks	pdenovoCardiacPeaks	pprimedAsmPeaks	pdenovoAsmPeaks	fdrprimedCardiacPeaks	fdrdenovoCardiacPeaks	fdrprimedAsmPeaks	fdrdenovoAsmPeaks
DBP_2	976	0	0	3	0	-Inf	-Inf	3.81939387920499	-Inf	1	1	0.00204394519047262	1	1	1	0.308169490376538	1
DLX1_1	925	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DLX2_1	970	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DLX3_1	970	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DLX4_1	1021	1	0	0	0	4.16822313872474	-Inf	-Inf	-Inf	0.0708493408362354	1	1	1	1	1	1	1
DLX5_1	801	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DLX6_1	970	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DMBX1_1	910	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DRGX_1	1059	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
EHF_1	1099	0	0	1	1	-Inf	-Inf	1.83757730849206	2.0599697298285	1	1	0.256850125339837	0.226842036788613	1	1	1	1
ELF1_1	1046	0	0	1	1	-Inf	-Inf	1.91027563449857	2.13266805583502	1	1	0.246032300961492	0.217097604623676	1	1	1	1
ELF1_2	1170	1	0	1	1	3.96778868984254	-Inf	1.74539626850609	1.96778868984254	0.0808648720969292	1	0.27111501229314	0.239720495272388	1	1	1	1
ELF3_1	1012	0	0	1	1	-Inf	-Inf	1.95884005587846	2.18123247721491	1	1	0.239015370386579	0.210786903138	1	1	1	1
ELF3_2	1270	1	0	1	1	3.84683942533245	-Inf	1.62444700399601	1.84683942533245	0.0875411485588315	1	0.290773376401602	0.257523534720852	1	1	1	1
ELF4_1	1071	0	0	1	1	-Inf	-Inf	1.87554461087351	2.09793703220996	1	1	0.251153231250256	0.22170807332207	1	1	1	1
ELF5_1	1203	0	1	1	1	-Inf	3.18982784448654	1.7044010173163	1.92679343865275	1	0.121985319493603	0.277657802957006	0.245638594152469	1	0.923334640493887	1	1
ELF5_2	1202	0	1	1	1	-Inf	3.19105387553428	1.70562704836404	1.92801946970049	1	0.121889330133102	0.277460344590311	0.245459884388897	1	0.923334640493887	1	1
ELK1_1	1022	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ELK1_2	924	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ELK1_3	676	0	1	0	0	-Inf	4.0351553585703	-Inf	-Inf	1	0.0701713036262527	1	1	1	0.923334640493887	1	1
ELK1_4	976	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ELK3_1	976	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ELK4_1	1013	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ERF_1	980	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ERG_1	1070	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ERG_2	840	0	0	0	1	-Inf	-Inf	-Inf	2.45447882566624	1	1	1	0.178136360397263	1	1	1	1
ERG_3	1054	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ERG_4	867	0	0	0	2	-Inf	-Inf	-Inf	3.5336618424283	1	1	1	0.0166271621598995	1	1	1	0.982852002565929
ETV1_1	1036	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ETV2_1	1369	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ETV3_1	1006	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ETV4_1	991	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ETV5_1	1037	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
EVX1_1	771	0	0	1	0	-Inf	-Inf	2.35754548474344	-Inf	1	1	0.187502789569468	1	1	1	1	1
EVX2_1	788	0	0	1	0	-Inf	-Inf	2.32563729458778	-Inf	1	1	0.191240525228544	1	1	1	1	1
FEV_1	1024	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FLI1_1	1058	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FLI1_2	766	0	0	0	1	-Inf	-Inf	-Inf	2.58945476596479	1	1	1	0.163709119206182	1	1	1	1
FLI1_3	1046	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FLI1_4	863	0	0	0	2	-Inf	-Inf	-Inf	3.54043777226413	1	1	1	0.0164825982461843	1	1	1	0.982852002565929
FOXB1_1	1194	0	0	1	1	-Inf	-Inf	1.71547136723525	1.93786378857169	1	1	0.27587886306248	0.244028798766355	1	1	1	1
FOXB1_2	1004	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXB1_3	1771	0	2	0	0	-Inf	3.93882080294865	-Inf	-Inf	1	0.0137326280266568	1	1	1	0.676644035495271	1	1
FOXB1_4	2415	0	2	2	0	-Inf	3.47415519191036	1.77371547376927	-Inf	1	0.0247579041462348	0.134442540371503	1	1	0.923334640493887	1	1
FOXC1_1	3013	0	0	2	2	-Inf	-Inf	1.43837453331183	1.67938263281563	1	1	0.191194904844199	0.152146830635837	1	1	1	1
FOXC1_2	837	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXC1_3	1965	0	2	1	0	-Inf	3.78369390224284	0.976338980185239	-Inf	1	0.0167496197862945	0.414323876378288	1	1	0.756524493680969	1	1
FOXC2_1	805	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
FOXC2_2	2991	0	0	2	0	-Inf	-Inf	1.44954515766447	-Inf	1	1	0.189038291633082	1	1	1	1	1
FOXC2_3	3168	0	2	2	0	-Inf	3.06222334367826	1.36178362553717	-Inf	1	0.0410796100429798	0.206500020752574	1	1	0.923334640493887	1	1
FOXD2_1	1396	1	1	1	0	3.70704922887186	2.97008363470565	1.48465680753541	-Inf	0.0959013945493226	0.140348326121528	0.314838518138193	1	1	0.975240932793184	1	1
FOXD2_2	4661	0	2	4	1	-Inf	2.46387068380379	2.0044390651665	-0.121091816917362	1	0.0826707127631426	0.0308934495546254	0.67630232904177	1	0.923334640493887	0.598008916378821	1
FOXD3_1	1356	1	2	0	0	3.75004570927905	4.3350082100002	-Inf	-Inf	0.0932535991867964	0.00821161801618629	1	1	1	0.614708516307122	1	1
FOXD3_2	4661	0	2	4	1	-Inf	2.46387068380379	2.0044390651665	-0.121091816917362	1	0.0826707127631426	0.0308934495546254	0.67630232904177	1	0.923334640493887	0.598008916378821	1
FOXG1_1	2144	0	1	1	0	-Inf	2.33121108461075	0.84578425744051	-Inf	1	0.208523121965169	0.442718272123573	1	1	1	1	1
FOXG1_2	1079	1	0	0	0	4.0869908581357	-Inf	-Inf	-Inf	0.0747576829373027	1	1	1	1	1	1	1
FOXI1_1	4661	0	2	4	1	-Inf	2.46387068380379	2.0044390651665	-0.121091816917362	1	0.0826707127631426	0.0308934495546254	0.67630232904177	1	0.923334640493887	0.598008916378821	1
FOXI1_2	1447	1	1	0	0	3.65393736467843	2.91697177051222	-Inf	-Inf	0.0992689184279727	0.145146894985314	1	1	1	0.995817937747347	1	1
FOXJ2_1	2710	0	1	0	0	-Inf	1.97800645390073	-Inf	-Inf	1	0.257061473783086	1	1	1	1	1	1
FOXJ2_2	2078	0	1	0	1	-Inf	2.37808431631513	-Inf	1.11504991048134	1	0.202695077817201	1	0.387875999560139	1	1	1	1
FOXJ2_3	2494	0	1	1	0	-Inf	2.10366386768894	0.618237040518695	-Inf	1	0.238839529702509	0.494563922112302	1	1	1	1	1
FOXJ3_1	2078	0	1	0	1	-Inf	2.37808431631513	-Inf	1.11504991048134	1	0.202695077817201	1	0.387875999560139	1	1	1	1
FOXJ3_2	2643	0	1	0	1	-Inf	2.01593254622935	-Inf	0.752898140395559	1	0.251448620711502	1	0.466096533619403	1	1	1	1
FOXJ3_3	2556	0	1	2	0	-Inf	2.06656761693899	1.68805599368526	-Inf	1	0.244107594718844	0.147419625555531	1	1	1	1	1
FOXK1_1	1188	1	0	0	0	3.94528946349709	-Inf	-Inf	-Inf	0.082069296851511	1	1	1	1	1	1	1
FOXL1_1	4661	0	2	4	1	-Inf	2.46387068380379	2.0044390651665	-0.121091816917362	1	0.0826707127631426	0.0308934495546254	0.67630232904177	1	0.923334640493887	0.598008916378821	1
FOXL1_2	3106	0	1	3	0	-Inf	1.77049893361854	2.09242702850591	-Inf	1	0.289524668572141	0.0468142209567636	1	1	1	0.650597634835023	1
GABPA_1	965	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GATA3_1	746	1	0	0	0	4.62814497739653	-Inf	-Inf	-Inf	0.0521496115369393	1	1	1	1	1	1	1
GATA3_2	746	1	0	0	0	4.62814497739653	-Inf	-Inf	-Inf	0.0521496115369393	1	1	1	1	1	1	1
GATA4_1	746	1	0	0	0	4.62814497739653	-Inf	-Inf	-Inf	0.0521496115369393	1	1	1	1	1	1	1
GATA5_1	746	1	0	0	0	4.62814497739653	-Inf	-Inf	-Inf	0.0521496115369393	1	1	1	1	1	1	1
GSC_1	835	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GSX1_1	1076	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
GSX2_1	1283	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HEY1_1	1603	0	0	3	0	-Inf	-Inf	3.0870657291427	-Inf	1	1	0.00819544055617345	1	1	1	0.403811707404183	1
HEY2_1	1569	0	0	3	0	-Inf	-Inf	3.1188947662397	-Inf	1	1	0.00772687081260567	1	1	1	0.403811707404183	1
HEY2_2	1537	0	0	2	0	-Inf	-Inf	2.44902974770028	-Inf	1	1	0.0622306437186065	1	1	1	0.790712505068784	1
HLF_1	1276	0	0	2	0	-Inf	-Inf	2.72440446548275	-Inf	1	1	0.0446317796273144	1	1	1	0.650597634835023	1
HNF1A_1	942	0	0	0	1	-Inf	-Inf	-Inf	2.28647519513367	1	1	1	0.197646166050673	1	1	1	1
HNF1B_1	850	0	0	0	1	-Inf	-Inf	-Inf	2.43714416739919	1	1	1	0.180068268119579	1	1	1	1
HNF1B_2	884	0	0	0	1	-Inf	-Inf	-Inf	2.37967239259674	1	1	1	0.186605443182113	1	1	1	1
HNF4A_1	903	0	1	0	0	-Inf	3.61153056903337	-Inf	-Inf	1	0.0927934512546941	1	1	1	0.923334640493887	1	1
HNF4A_2	907	0	1	0	1	-Inf	3.60504943445058	-Inf	2.34201502861679	1	0.0931879281836839	1	0.191000332477591	1	0.923334640493887	1	1
HNF4A_3	944	1	1	0	0	4.28336307358865	3.54639747942244	-Inf	-Inf	0.0656415649091917	0.0968300684058276	1	1	1	0.923334640493887	1	1
HNF4A_4	1114	0	0	0	1	-Inf	-Inf	-Inf	2.04001830307728	1	1	1	0.229579497463644	1	1	1	1
HNF4A_5	917	0	2	0	1	-Inf	4.91089688426756	-Inf	2.32593438354641	1	0.00383385210520524	1	0.19290430823564	1	0.487108442393505	1	1
HNF4A_6	982	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXA10_1	1350	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXA10_2	1520	0	0	0	1	-Inf	-Inf	-Inf	1.5810023142079	1	1	1	0.300361251413602	1	1	1	1
HOXA1_1	1132	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXA2_1	991	0	0	1	0	-Inf	-Inf	1.98964234565111	-Inf	1	1	0.234650984916754	1	1	1	1	1
HOXB3_1	1103	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXB5_1	1335	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HOXC10_1	1242	0	0	0	2	-Inf	-Inf	-Inf	3.00527031725472	1	1	1	0.0325057046955362	1	1	1	0.982852002565929
HOXC10_2	1601	0	0	0	1	-Inf	-Inf	-Inf	1.50395730065684	1	1	1	0.313743577681659	1	1	1	1
HOXC10_3	1418	0	0	0	1	-Inf	-Inf	-Inf	1.6839102144686	1	1	1	0.283166798407952	1	1	1	1
HOXD8_1	1032	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
IRX2_1	1328	0	0	1	0	-Inf	-Inf	1.55849316334321	-Inf	1	1	0.301947326646171	1	1	1	1	1
IRX5_1	1545	0	0	1	0	-Inf	-Inf	1.33441328916256	-Inf	1	1	0.342312543700613	1	1	1	1	1
ISL2_1	535	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ISX_1	1104	0	1	0	0	-Inf	3.31632416830978	-Inf	-Inf	1	0.112439851156792	1	1	1	0.923334640493887	1	1
ISX_2	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ISX_3	684	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
JDP2_1	641	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
JDP2_2	5983	0	0	4	1	-Inf	-Inf	1.60663957675437	-0.518891305329485	1	1	0.0676312683125674	0.769274086103023	1	1	0.814581053898033	1
JDP2_3	781	1	0	0	0	4.56108539870322	-Inf	-Inf	-Inf	0.0545451163322767	1	1	1	1	1	1	1
JDP2_4	7780	0	1	7	1	-Inf	0.312551697558523	2.44183471450349	-0.950482708275271	1	0.591783194685512	0.00227431358211467	0.856492865994937	1	1	0.308169490376538	1
KLF13_1	1263	0	0	1	1	-Inf	-Inf	1.6326050687373	1.85499749007374	1	1	0.289413563874192	0.256289960207996	1	1	1	1
LHX2_1	889	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LHX2_2	803	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LHX9_1	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LHX9_2	779	0	1	0	0	-Inf	3.8278711922196	-Inf	-Inf	1	0.0804935362046193	1	1	1	0.923334640493887	1	1
LMX1A_1	717	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LMX1B_1	717	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
LMX1B_2	684	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MEF2A_1	1041	0	0	0	1	-Inf	-Inf	-Inf	2.1397118820861	1	1	1	0.216172491002893	1	1	1	1
MEF2B_1	1024	0	0	0	1	-Inf	-Inf	-Inf	2.16391169360447	1	1	1	0.213019551512066	1	1	1	1
MEF2D_1	1061	0	0	0	1	-Inf	-Inf	-Inf	2.11173304982359	1	1	1	0.219866901701126	1	1	1	1
MEIS1_1	1603	0	2	1	1	-Inf	4.0870657291427	1.27971080708509	1.50210322842154	1	0.0113414855407218	0.352726348553489	0.314070996100373	1	0.614708516307122	1	1
MEIS2_1	935	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MEIS2_2	1163	0	0	0	1	-Inf	-Inf	-Inf	1.97662999432133	1	1	1	0.238459644209883	1	1	1	1
MNX1_1	1376	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX1_1	1176	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX1_2	1219	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX1_3	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX2_1	1213	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MSX2_2	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MYF6_1	1553	1	1	0	0	3.54914310634871	2.8121775121825	-Inf	-Inf	0.106237982317657	0.155049010995258	1	1	1	1	1	1
NEUROD2_1	812	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NEUROG2_1	777	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NEUROG2_2	926	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIA_1	795	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIA_2	1050	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIB_1	852	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIL3_1	2741	0	0	4	0	-Inf	-Inf	2.82325537680127	-Inf	1	1	0.00503212706784581	1	1	1	0.350343373459606	1
NFIX_1	840	0	0	1	0	-Inf	-Inf	2.23208640432979	-Inf	1	1	0.202574218676791	1	1	1	1	1
NFIX_2	1130	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIX_3	925	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NFIX_4	744	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NR2F1_1	1106	0	1	0	0	-Inf	3.31366047890376	-Inf	-Inf	1	0.112633541142067	1	1	1	0.923334640493887	1	1
NR2F1_2	1071	0	0	2	0	-Inf	-Inf	2.98245981479002	-Inf	1	1	0.0324417806554985	1	1	1	0.606325693630351	1
NR2F1_3	660	0	1	0	0	-Inf	4.07012907804116	-Inf	-Inf	1	0.0685592191926159	1	1	1	0.923334640493887	1	1
NR2F1_4	1079	0	1	0	0	-Inf	3.35002526396949	-Inf	-Inf	1	0.110015752139931	1	1	1	0.923334640493887	1	1
NR2F6_1	971	0	0	2	0	-Inf	-Inf	3.1264948900813	-Inf	1	1	0.0270762043840794	1	1	1	0.598008916378821	1
NR2F6_2	1072	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NR2F6_3	1048	0	1	0	0	-Inf	3.39289417572387	-Inf	-Inf	1	0.107002209390806	1	1	1	0.923334640493887	1	1
NR4A2_1	687	0	0	0	1	-Inf	-Inf	-Inf	2.74854768844965	1	1	1	0.148049320105251	1	1	1	1
NR4A2_2	457	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
NR4A2_3	983	0	1	0	1	-Inf	3.48697226796824	-Inf	2.22393786213445	1	0.100655876343836	1	0.205367175998554	1	0.923334640493887	1	1
ONECUT1_1	1091	0	0	0	1	-Inf	-Inf	-Inf	2.07071988008459	1	1	1	0.225378389252386	1	1	1	1
ONECUT1_2	983	0	0	0	1	-Inf	-Inf	-Inf	2.22393786213445	1	1	1	0.205367175998554	1	1	1	1
ONECUT2_1	1050	0	0	0	1	-Inf	-Inf	-Inf	2.12705673631482	1	1	1	0.217836969734612	1	1	1	1
ONECUT3_1	1215	1	0	0	1	3.91215831498315	-Inf	-Inf	1.91215831498315	0.0838737140631319	1	1	0.247780065977212	1	1	1	1
OTX1_1	1097	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
OTX1_2	609	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
OTX2_1	1049	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
OTX2_2	871	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX1_1	2555	0	0	0	1	-Inf	-Inf	-Inf	0.804124705111401	1	1	1	0.454553771516612	1	1	1	1
PAX3_1	568	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX5_1	2956	0	2	2	1	-Inf	3.16791715035322	1.46747743221213	0.582954649632068	1	0.0361352083490785	0.185616108897663	0.505349645910704	1	0.923334640493887	1	1
PAX6_1	2046	0	0	0	1	-Inf	-Inf	-Inf	1.1382939069923	1	1	1	0.383144102104255	1	1	1	1
PAX7_1	604	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX7_2	483	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PAX9_1	2450	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PDX1_1	797	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PDX1_2	762	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PHOX2A_1	1099	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PHOX2B_1	1126	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PHOX2B_2	1100	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PITX1_1	826	0	0	0	1	-Inf	-Inf	-Inf	2.47909189538832	1	1	1	0.175424630005335	1	1	1	1
PITX1_2	917	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PITX1_3	1116	0	0	1	0	-Inf	-Inf	1.81498560175677	-Inf	1	1	0.260289191846843	1	1	1	1	1
PITX3_1	772	0	0	0	1	-Inf	-Inf	-Inf	2.57804183893363	1	1	1	0.164887546750045	1	1	1	1
PKNOX2_1	949	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU2F1_1	996	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU2F1_2	615	0	0	1	0	-Inf	-Inf	2.68775261968753	-Inf	1	1	0.152442738788102	1	1	1	1	1
POU2F3_1	1044	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU2F3_2	749	0	0	1	0	-Inf	-Inf	2.39988426240644	-Inf	1	1	0.182641785050746	1	1	1	1	1
POU4F1_1	1074	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU4F2_1	1040	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU4F2_2	955	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
POU4F3_1	1075	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PRRX1_1	684	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PRRX1_2	1185	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PRRX1_3	1047	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
PRRX2_1	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
RARA_1	1099	0	0	0	2	-Inf	-Inf	-Inf	3.18550061191236	1	1	1	0.025926999767185	1	1	1	0.982852002565929
RARA_2	1118	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
RARA_3	1167	0	0	0	1	-Inf	-Inf	-Inf	1.97157146353889	1	1	1	0.239180366673168	1	1	1	1
RARA_4	875	0	1	1	0	-Inf	3.65770532838553	2.17227850121528	-Inf	1	0.0900281066398013	0.210119010591322	1	1	0.923334640493887	1	1
RARA_5	1309	0	0	0	1	-Inf	-Inf	-Inf	1.80217609884954	1	1	1	0.264361801545985	1	1	1	1
RARA_6	1219	0	0	0	1	-Inf	-Inf	-Inf	1.90731133674221	1	1	1	0.248492641967626	1	1	1	1
RARB_1	933	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
RARG_1	1051	0	0	1	0	-Inf	-Inf	1.90326476157573	-Inf	1	1	0.247059094414961	1	1	1	1	1
RARG_2	1202	0	0	0	2	-Inf	-Inf	-Inf	3.05355035178435	1	1	1	0.0306037752238864	1	1	1	0.982852002565929
RARG_3	1266	0	1	2	3	-Inf	3.1145301873456	2.73601856409187	3.69949268806675	1	0.128015047283858	0.0440020418023126	0.00276957886824356	1	0.950467885313026	0.650597634835023	0.982852002565929
RARG_4	1144	0	0	1	0	-Inf	-Inf	1.77850057931815	-Inf	1	1	0.265921174180508	1	1	1	1	1
